Institution	City	State	Zipcode	RU_VH	ARL	ACAD_RES	Public_100K	Public_CA	latitude	longitude
Phoenix Public Library	Phoenix	Arizona	85004	N	N	N	Y	N	33.4629168	-112.0730782
Scottsdale Public Library	Scottsdale	Arizona	85251	N	N	N	Y	N	33.493946	-111.922302
Tempe Public Library	Tempe	Arizona	85282	N	N	N	Y	N	33.392384	-111.926506
Pima County Public Library	Tucson	Arizona	85701	N	N	N	Y	N	32.205399	-110.943802
Central Arkansas Library System	Little Rock	Arkansas	72201	N	N	N	Y	N	34.748038	-92.266728
Anaheim Public Library	Anaheim	California	92805	N	N	N	Y	N	33.83235	-117.907039
Kern County Library System	Bakersfield	California	93301	N	N	N	Y	N	35.383472	-119.007919
Berkeley Public Library	Berkeley	California	94704	N	N	N	Y	N	37.867416	-122.259659
Burbank Public Library	Burbank	California	91502	N	N	N	Y	N	34.183394	-118.306302
Corona Public Library	Corona	California	92882	N	N	N	Y	N	33.86333	-117.593449
Daly City Public Library	Daly City	California	94015	N	N	N	Y	N	37.662589	-122.470339
Downey City Library	Downey	California	90241	N	N	N	Y	N	33.941341	-118.128845
Escondido Public Library	Escondido	California	92025	N	N	N	Y	N	33.121023	-117.079274
Solano County Library	Fairfield	California	94533	N	N	N	Y	N	38.251605	-122.047856
Alameda County Library	Fremont	California	94538	N	N	N	Y	N	37.52681	-121.964905
Fresno County Public Library	Fresno	California	93721	N	N	N	Y	N	36.734367	-119.782898
Fullerton Public Library	Fullerton	California	92832	N	N	N	Y	N	33.8683	-117.930869
Glendale Public Library	Glendale	California	91205	N	N	N	Y	N	34.144284	-118.253496
Hayward Public Library	Hayward	California	94541	N	N	N	Y	N	37.670577	-122.083526
Huntington Beach Public Library	Huntington Beach	California	92648	N	N	N	Y	N	33.701514	-118.004286
Inglewood Public Library	Inglewood	California	90301	N	N	N	Y	N	33.96219019	-118.3555636
Long Beach Public Library	Long Beach	California	90822	N	N	N	Y	N	33.76758	-118.1943527
Los Angeles Public Library	Los Angeles	California	90071	N	N	N	Y	N	34.050324	-118.254381
County of Los Angeles Public Library	Los Angeles	California	90241	N	N	N	Y	N	33.9389868	-118.1290761
Stanislaus County Free Library	Modesto	California	95354	N	N	N	Y	N	37.644257	-120.970085
Moreno Valley Public Library	Moreno Valley	California	92553	N	N	N	Y	N	33.917512	-117.218254
Oakland Public Library	Oakland	California	94612	N	N	N	Y	N	37.810181	-122.269073
Oceanside Public Library	Oceanside	California	92054	N	N	N	Y	N	33.1970099	-117.3804298
Ontario City Library	Ontario	California	91764	N	N	N	Y	N	34.0659863	-117.6494547
Orange Public Library	Orange	California	92866	N	N	N	Y	N	33.788326	-117.849346
Oxnard Public Library	Oxnard	California	93030	N	N	N	Y	N	34.200976	-119.178717
Palmdale City Library	Palmdale	California	93550	N	N	N	Y	N	34.5791879	-118.1162799
South Pasadena Public Library	Pasadena	California	91030	N	N	N	Y	N	34.11372498	-118.1561244
Pomona Public Library	Pomona	California	91769	N	N	N	Y	N	34.054645	-117.750024
Rancho Cucamonga Public Library	Rancho Cucamonga	California	91730	N	N	N	Y	N	34.106754	-117.589676
Richmond Public Library	Richmond	California	94804	N	N	N	Y	N	37.93554358	-122.3436461
Riverside County Library System	Riverside	California	92509	N	N	N	Y	N	33.98	-117.35
Riverside Public Library	Riverside	California		N	N	N	Y	N	33.99263	-117.37139
Roseville County Public Library	Roseville	California	95678	N	N	N	Y	N	38.74629	-121.285001
Sacramento Public Library	Sacramento	California	95814	N	N	N	Y	N	38.581864	-121.495231
Salinas Public Library	Salinas	California	93901	N	N	N	Y	N	36.671727	-121.657074
Santa Barbara County Public Library	San Bernadino	California	92415	N	N	N	Y	N	34.106573	-117.28541
Ventura County Public Library	San Buenaventura	California	93003	N	N	N	Y	N	34.269472	-119.214694
San Diego County Library	San Diego	California	92123	N	N	N	Y	N	32.799797	-117.137047
San Diego Public Library	San Diego	California		N	N	N	Y	N	32.7211	-117.164307
San Francisco Public Library	San Francisco	California	94102	N	N	N	Y	N	37.7788648	-122.4157819
San Jose Public Library	San Jose	California	95112	N	N	N	Y	N	37.3358122	-121.8860269
Orange County Public Libraries	Santa Ana	California	92705	N	N	N	Y	N	33.72306	-117.850007
Santa Ana Public Library	Santa Ana	California		N	N	N	Y	N	33.7515348	-117.8721064
Santa Clara City Library	Santa Clara	California	95051	N	N	N	Y	N	37.347729	-121.984909
Mountain Valley Library System	Santa Rosa	California	95404	N	N	N	Y	N	38.43971238	-122.7091587
Sonoma County Library	Santa Rosa	California		N	N	N	Y	N	38.452549	-122.703171
Tulare County Library	Visalia	California	93291	N	N	N	Y	N	36.332026	-119.293592
Aurora Public Library	Aurora	Colorado	80012	N	N	N	Y	N	39.70857225	-104.815966
Pikes Peak Library District	Colorado Springs	Colorado	80917	N	N	N	Y	N	38.8350345	-104.8253905
Denver Public Library	Denver	Colorado	80204	N	N	N	Y	N	39.738292	-104.987675
Jefferson County Public Library	Lakewood	Colorado	80215	N	N	N	Y	N	39.747364	-105.111882
Pueblo City County Library District	Pueblo	Colorado	81004	N	N	N	Y	N	38.259784	-104.621017
Rangeview Library District	Thornton	Colorado	80602	N	N	N	Y	N	39.859111	-104.977712
Westminster Public Library	Westminster	Colorado	80031	N	N	N	Y	N	39.90050636	-105.0415587
Bridgeport Public Library	Bridgeport	Connecticut	06604	N	N	N	Y	N	41.178299	-73.196701
Hartford Public Library	Hartford	Connecticut	06103	N	N	N	Y	N	41.762131	-72.67428
New Haven Free Public Library	New Haven	Connecticut	06510	N	N	N	Y	N	41.307068	-72.924644
The Ferguson Library	Stamford	Connecticut	06904	N	N	N	Y	N	41.053268	-73.538994
Centennial Library	Waterbury	Connecticut	06708	N	N	N	Y	N	41.54746726	-73.06602024
Washington D.C. Public Library	Washington	District of Columbia	20011	N	N	N	Y	N	38.94355392	-77.03482056
Clearwater Public Library	Clearwater	Florida	33755	N	N	N	Y	N	27.978279	-82.780922
Pinellas Public Library Cooperative	Clearwater	Florida	33755	N	N	N	Y	N	27.966331	-82.781742
Broward County Library Division	Fort Lauderdale	Florida	33301	N	N	N	Y	N	26.121044	-80.142919
Alachua County Library District	Gainesville	Florida	32601	N	N	N	Y	N	29.651914	-82.321511
Hileah Public Libraries	Hialeah	Florida	33012	N	N	N	Y	N	25.866595	-80.286692
Jacksonville Public Library	Jacksonville	Florida	32202	N	N	N	Y	N	30.328445	-81.651886
Miami-Dade Public Library System	Miami	Florida	33130	N	N	N	Y	N	25.774092	-80.195608
Orange County Library System	Orlando	Florida	32801	N	N	N	Y	N	28.54226	-81.377284
"Broward County Library ""South"" Regional"	Pembroke Pines	Florida	33024	N	N	N	Y	N	26.009275	-80.234931
St. Petersburgh Public Library	St. Petersburg	Florida	33713	N	N	N	Y	N	27.781041	-82.684208
Leroy Collins Leon County Public Library	Tallahassee	Florida	32301	N	N	N	Y	N	30.4422907	-84.2836433
Hillsborough County Public Library Coop.	Tampa	Florida	33602	N	N	N	Y	N	27.950842	-82.461518
